year,word,frequency
2020,$950,84
2020,$950.01,21
2020,($200,11
2020,($200.01,10
2020,($399,6982
2020,($400,12927
2020,($950,24205
2020,($950.01,11793
2020,(13,483
2020,(14-15,483
2020,(17yrs,227
2020,(dwoc),50
2020,(firearms,1
2020,(motorized,134
2020,(physical),1010
2020,(see,267
2020,(simple),618
2020,300,267
2020,abandonment,3
2020,abuse,1010
2020,access,140
2020,acts,145
2020,aggravated,14583
2020,agnst,483
2020,aircraft,78
2020,all,12927
2020,and,4785
2020,animals,34
2020,annoying,227
2020,anus,129
2020,arrest,217
2020,arson,665
2020,assault,55591
2020,attempt,1102
2020,attempted,2304
2020,auto,5
2020,b/w,129
2020,battery,17958
2020,bike,2050
2020,"bikes,",134
2020,boat,31
2020,bomb,75
2020,brandish,3086
2020,bribery,1
2020,"bunco,",1881
2020,burglary,25730
2020,"burglary,",923
2020,"calls,",1572
2020,calls/letters,126
2020,"cards,",48
2020,child,1693
2020,chld,483
2020,church,12927
2020,coin,16
2020,commercial,125
2020,compliance,310
2020,computer,140
2020,conduct,155
2020,consent,50
2020,"consent,",292
2020,conspiracy,5
2020,contact,1092
2020,contempt,574
2020,contributing,11
2020,copulation,172
2020,counterfeit,34
2020,court,1965
2020,credit,48
2020,crime,1716
2020,criminal,4550
2020,crm,483
2020,cruelty,34
2020,deadly,11922
2020,defrauding,105
2020,discharge,581
2020,dishonest,17
2020,displayed,4198
2020,disrupt,4
2020,distribute),5
2020,disturbing,323
2020,document,734
2020,driving,105
2020,"drugs,",5
2020,drunk,4
2020,dumping,29
2020,dwelling,419
2020,"embezzlement,",967
2020,employee,17
2020,etc),134
2020,exposure,258
2020,extortion,422
2020,failure,252
2020,false,102
2020,felony,13640
2020,firearms,1
2020,"firearms(sale,display,manufacture",5
2020,firearms/shots,581
2020,fired,1078
2020,firefighter,46
2020,forcible,884
2020,forgery,713
2020,fraud,50
2020,frgn,292
2020,from,27687
2020,grand,7027
2020,homicide,352
2020,human,140
2020,identity,9040
2020,illegal,29
2020,imprisonment,72
2020,indecent,258
2020,inhabited,419
2020,innkeeper/theft,105
2020,insurance,2
2020,intimate,13768
2020,involuntary,15
2020,kidnapping,213
2020,"letters,",1572
2020,lewd,3299
2020,lewd/lascivious,20
2020,lynching,14
2020,machine,16
2020,"manslaughter,",4
2020,minor,5
2020,miscellaneous,1716
2020,misdeameanor,6982
2020,motor,14770
2020,moving,271
2020,mutual,292
2020,neglect,267
2020,negligent,4
2020,obj,292
2020,object,526
2020,offender,310
2020,officer,397
2020,older),483
2020,one,129
2020,oral,172
2020,order,4152
2020,oth,129
2020,other,2885
2020,out,310
2020,over,21
2020,over),6284
2020,"over)excpt,guns,fowl,livestk,prod",5519
2020,"over,",12927
2020,owner,50
2020,pandering,26
2020,partner,13768
2020,peace,323
2020,peeping,81
2020,penetration,625
2020,penis,129
2020,pers,129
2020,person,988
2020,petty,24757
2020,phone,126
2020,pickpocket,57
2020,"pickpocket,",1
2020,pimping,38
2020,plain,10984
2020,police,1045
2020,pornography,49
2020,possession/bombing,9
2020,prowler,50
2020,purse,35
2020,"rape,",956
2020,reckless,55
2020,registrant,310
2020,repair,5
2020,replica,5
2020,report,30
2020,resisting,217
2020,restraining,2761
2020,ro),1
2020,robbery,8019
2020,roll,4
2020,scare,75
2020,school,4
2020,"scooters,",134
2020,"services,",105
2020,servitude,15
2020,sex,435
2020,"sex,unlawful(inc",292
2020,sexual,1296
2020,shoplifting,3579
2020,shoplifting-grand,519
2020,shots,497
2020,simple,28051
2020,snatching,35
2020,sodomy/sexual,129
2020,stalking,114
2020,stealing,117
2020,stolen,24221
2020,susp,483
2020,tap,6
2020,telephone,1572
2020,temporary,153
2020,the,323
2020,theft,41672
2020,"theft,",980
2020,theft-grand,5519
2020,threatening,126
2020,threats,4198
2020,throwing,193
2020,till,6
2020,tom,81
2020,trafficking,140
2020,train,78
2020,trespassing,2852
2020,unauthorized,140
2020,under,108
2020,under),31884
2020,use,48
2020,vandalism,19909
2020,vandalisms),12927
2020,vehicle,48970
2020,"vehicle,",391
2020,violation,4151
2020,w.i.c.),267
2020,w/foreign,333
2020,weapon,7681
2020,"weapon,",11525
2020,weapons,9
2020,with,12905
2020,without,50
2020,worthless,21
2020,yield,252
2020,yrs,483
2021,$950,57
2021,$950.01,10
2021,($200,8
2021,($200.01,19
2021,($399,6313
2021,($400,13681
2021,($950,22431
2021,($950.01,15732
2021,(13,443
2021,(14-15,443
2021,(17yrs,225
2021,(dwoc),39
2021,(firearms,4
2021,(motorized,243
